states,population2019,population2010
AK,731545,710231
AL,4903185,4779736
AR,3017825,2915918
AS,55641,"55,519"
AZ,7278717,6392017
CA,39512223,37254523
CO,5758736,5029196
CT,3565287,3574097
DC,705749,601723
DE,973764,897934
FL,21477737,18801310
GA,10617423,9687653
GU,165718,"159,358"
HI,1415872,1360301
IA,3155070,3046355
ID,1787065,1567582
IL,12671821,12830632
IN,6732219,6483802
KS,2913314,2853118
KY,4467673,4339367
LA,4648794,4533372
MA,6949503,6547629
MD,6045680,5773552
ME,1344212,1328361
MI,9986857,9883640
MN,5639632,5303925
MO,6137428,5988927
MP,55194,"53,883"
MS,2976149,2967297
MT,1068778,989415
NC,10488084,9535483
ND,762062,672591
NE,1934408,1826341
NH,1359711,1316470
NJ,8882190,8791894
NM,2096829,2059179
NV,3080156,2700551
NY,19453561,19378102
OH,11689100,11536504
OK,3956971,3751351
OR,4217737,3831074
PA,12801989,12702379
PR,3193694,3725789
RI,1059361,1052567
SC,5148714,4625364
SD,884659,814180
TN,6833174,6346105
TX,28995881,25145561
US,331814684,312846492
UT,3205958,2763885
VA,8535519,8001024
VI,104914,"106,405"
VT,623989,625741
WA,7614893,6724540
WI,5822434,5686986
WV,1792147,1852994
WY,578759,563626
